name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis
COSMOS_23,spiral,3.763,0.83,-0.186534816,-0.487373428,0.893428512,2.321657848,1.270790625,-0.664115067,0,0,0,-0.014503139,-0.009418455,-0.00482651,-0.017304304,0.3837047,-0.009664825,-0.013361379,6.167237021,-17.45088637,-6.792760343,-19.41712654,-11.48894338,-0.015972072,-0.01703469,0,1,0.00012127,0.000645335,5.161536675,24.80680079
COSMOS_283,spiral,0.19,2.16,-5.522129192,-1.824594045,0.396401589,6.113375505,4.181367341,-0.290156457,0,0,0,0.004146455,0.003888366,0.014286902,0.032933252,0.400783811,0.009216679,0.018410809,16.56352142,1436.038317,-393.9398477,122.4670481,40.32362144,-0.003905191,-0.009620801,0,1,0.00075041,0.001465045,1.454736351,0.154835617
COSMOS_447,spiral,0.71,0.64,-2.275733777,-4.608737419,0.1,13.2618289,1,-0.171509152,0,0,0,-0.023099648,-0.009340532,0.019863014,0.02299765,0.404381466,-0.001618317,0.006828559,11.44673903,102.4338516,45.54980748,-36.97772808,-35.09973215,0.002346307,0.001631939,0,1,0.000335335,0.000885812,2.270207176,3.176308897
COSMOS_610,spiral,3.8458,0.95,1.80784814,-0.652790216,1.338016396,2.205036173,1.534412237,0.013952168,0,0,0,-0.024347676,-0.003497533,-0.003772102,-0.007459469,0.424973449,-0.014059889,-0.005478501,13.10195629,-390.4701042,2.096560523,-118.654932,186.0287341,-0.007469947,0.004217369,0,1,0.000670488,0.001688373,2.151974936,2.726582567
COSMOS_611,spiral,1.4791,0.37,-1.70520311,-1.620866245,1.089426322,2.134203235,2.397575063,-1.628131445,0,0,0,-0.007633433,-0.003011279,0.009785465,-0.002606387,0.324601102,0.001076016,-0.002808833,10.02680683,-245.2805307,15.178967,-17.27467467,-132.8494848,0.012735267,0.007632538,0,0,0.000349009,0.001186029,3.142552499,8.033526633
COSMOS_963,early,0.19,2.08,-2.779649355,-1.306836078,1.421268426,1.12400067,1.343060372,1.055129255,0,0,0,0.007388385,-0.003155107,0.009380182,-0.000472,0.487059043,0.008384284,-0.001813554,7.630966228,-21.77883018,-8.600051309,5.34483668,-8.580899192,-0.003829331,-0.002080986,0,0,0.000165312,0.000736589,4.24112657,16.03517698
COSMOS_1157,spiral,0.389,1.7,-1.060265581,-0.829413908,0.940717986,3.89940227,1.528833002,-1.356855696,0,0,0,-0.012680051,-0.005978248,-0.001563273,-0.003716956,0.452839029,-0.007121662,-0.004847602,10.59171079,-45.47073714,-23.9188397,-12.23671678,-13.96163177,-0.003052385,-0.001581979,0,0,0.00027761,0.000893095,2.923104318,6.605323084
COSMOS_1331,early,1.247,2.39,-2.180337427,-0.713780749,2.338651701,0.250269978,1.254093635,1.410274338,0,0,0,0.004554775,-0.004900975,0.0030308,-0.006224836,0.894004912,0.003792787,-0.005562905,12.53355061,22.90487117,14.42518033,0.058139528,52.9029081,0.000468298,0.000869989,0,0,0.000377281,0.001014771,2.329382255,3.463189655
COSMOS_1349,early,0.9,2.33,-1.590411656,-1.172952918,1.958822473,0.526282043,1.353513889,-0.882262875,0,0,0,-0.000972712,-0.000961802,0.001301535,-0.003399625,0.939824845,0.000164412,-0.002180714,11.99574272,13.24256902,-19.66533109,20.9494006,-28.10885545,0.000418236,-0.000636978,0,0,0.000329264,0.000925772,2.46530996,4.108287338
COSMOS_1124,spiral,2.773,1.23,-0.914788694,-1.959530368,0.831120102,4.310861534,2.011793866,-0.995553133,0,0,0,0.007294057,0.003785703,0.006285654,0.003079759,0.32675917,0.006789855,0.003432731,11.64416222,-51.05904039,-11.76107252,182.5797962,407.9828136,-0.006835725,0.017687901,0,0,0.000408549,0.001225462,2.68731288,5.295697439
