name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,T,T_err,F
PGC0000243,early,0.02931,2.58903,-0.609843963,-1.4229176,4.642545461,0.000905987,1.08458566,-0.280662066,0,0,0,-0.000786038,0.000599361,-0.000118291,0.001697147,1.292675206,-0.000452165,0.001148254,21.22857701,-0.617062908,47.28091436,7.670015917,91.36089982,0.000332487,0.000404077,0,0,0.818440847,2.271043312,2.694238256,7.44711495,-2,1,0.001234075
PGC0000282,spiral,0.03789,1.93112,-0.817959305,-1.046748365,1.158591866,10.27492655,1.205145161,0.221231587,0,0,0,-0.001023479,-0.001200592,0.002728522,0.001830465,1.632856806,0.000852521,0.000314936,31.04570911,2447.282873,-206.9263132,146.8449256,-1387.567159,0.001473842,-0.000762037,0,0,1.484601218,2.679186908,1.257551264,-0.399218608,6,0,0.000908833
PGC0000963,spiral,0.01322,2.06397,0.507671599,0.16012605,1.675931764,1.509765159,2.282184233,-0.194193004,0,0,0,0.000884083,0.000846872,-0.000565839,0.00178557,1.737310448,0.000159122,0.001316221,25.30551936,531.7166111,-110.054159,38.07554382,-22.80683562,-0.00021166,0.001275678,0,0,0.499551932,1.030195549,1.939600989,3.680697394,6,0,0.001325804
PGC0001221,spiral,0.02733,2.03306,1.167686981,0.397793534,0.721454655,8.531657551,2.108521927,-1.791199206,0,0,0,-0.015259067,0.004439498,-0.0062092,0.000430611,5.5365743,-0.010734133,0.002435054,19.51147131,-12.30582479,-71.32676749,-160.6410687,278.8034782,0.00403223,0.002776606,0,1,2.721042605,3.208576177,0.355040191,-1.804314314,6,1,0.011006866
PGC0001309,early,0.01844,2.71115,1.771779134,-1.585608509,4.697987853,0.000624596,1.347016394,0.718872977,0,0,0,-0.002278253,0.000517408,-0.000368747,-0.000601532,0.537462793,-0.0013235,-4.21E-05,22.82871239,682.9393136,-401.9281532,120.5899198,-162.6008197,0.000664433,-0.000656166,0,1,1.245390729,2.948630493,2.392378895,6.845288463,-5,0,0.001324168
PGC0001523,spiral,0.01771,1.87396,1.040694264,-0.846239953,1.406058673,6.332431946,1,-2.730588583,0,0,0,-0.002847329,-0.001093584,0.000395293,-0.00228115,4.691327882,-0.001226018,-0.001687367,29.34519332,-735.6795837,-258.2523882,-28.37806019,-579.7928959,-0.003186377,-0.002021649,0,0,1.002426543,1.84260913,1.435292252,0.584630708,6,0,0.002085744
PGC0001805,spiral,0.05878,2.68581,1.982821874,0.633233251,2.745520135,0.134618749,2.271290163,0.781682238,0,0,0,-0.002166992,0.000291273,0.001967863,-0.003330566,2.739911302,-9.96E-05,-0.001519646,25.93600037,3.297868605,-3.344062339,-3.795604218,-26.13746173,0.000525118,0.00059776,0,0,0.898974154,2.007626273,1.844685647,1.667933888,4,1,0.001522904
PGC0001862,spiral,0.01797,1.82424,1.349416132,5.0204746,0.908480285,6.553981177,3.387143749,1.012570829,0,0,0,0.00461808,-0.002557021,0.001941236,-0.002099631,2.163856141,0.003279658,-0.002328326,29.93823185,-3.4466671,-49.84544708,-123.6467005,-327.6784566,0.002379036,-0.003242772,0,0,0.956312288,2.166722186,1.860422403,1.585369228,6,1,0.004022097
PGC0001909,spiral,0.01197,1.82973,-0.899476526,-2.836230585,1.248491759,3.51536761,2.069144704,-1.637786304,0,0,0,-0.002236581,9.94E-05,-0.001160857,0.00013014,5.6528751,-0.001698719,0.00011478,20.73989925,-7.553114296,0.236441714,-11.59818026,0.768173072,-0.000414122,0.000890722,0,0,0.610883633,1.597875528,2.671063627,7.452118352,4,2,0.001702592
PGC0001932,spiral,0.01192,2.08978,-1.93867561,-2.527139224,0.800749179,5.792811491,4.329305057,-0.6687759,0,0,0,0.004936404,0.008287913,0.008514489,0.008610459,5.192616813,0.006725446,0.008449186,28.46521318,-6.077548421,20.28290432,-24.66065989,23.45151007,2.09E-05,-0.000170509,0,1,0.814676958,1.725567547,1.846877059,2.225253458,4,2,0.010799092
PGC0002076,early,0.02071,2.65498,-0.68760458,-0.960294762,4.040558184,0.004894803,1.305830905,1.468061308,0,0,0,-0.000805823,-0.000144934,-0.000360275,0.000546176,0.991056296,-0.000583049,0.000200621,24.96594584,-265.2375482,-23.93044188,-59.70712719,-346.5321722,-0.000163746,-0.000129972,0,0,0.804509217,1.777281212,2.527292933,11.12622212,-3,0,0.000616599
PGC0002149,early,0.01995,2.78006,-0.978530656,-0.781429987,5.283072168,0.000124385,1.044731985,0.157747442,0,0,0,0.002092552,0.00096339,-0.001214286,0.000603556,1.719052866,0.000439133,0.000783473,23.99621155,63.80932748,52.7034032,-1.122283585,118.8697392,0.000398517,0.000195831,0,0,0.775436676,1.846408199,2.886573041,16.79935729,-3,1,0.000898147
PGC0002182,spiral,0.01962,2.20426,-5.618727352,-7.001303052,3.879931935,0.018906735,1.339578736,-0.237482661,0,0,0,0.001878997,-0.000641955,-0.000115474,0.000798505,3.501112332,0.000881761,7.83E-05,36.69737509,1062.07373,18.74835375,243.4029794,-30.00263903,0.000529296,0.000358992,0,0,1.199779174,1.87160896,1.078886504,-0.011742503,5,1,0.000885229
PGC0002269,spiral,0.01747,1.76674,-3.672396556,3.940161299,1.658408086,4.348443609,1.134360936,4.168648185,0,0,0,0.002960401,-5.36E-05,0.000467599,-0.004884004,3.515007437,0.001714,-0.002468782,33.57933123,1501.607516,-155.3227607,61.44615557,-3061.500096,0.000728724,-0.001106358,0,0,1.111262787,1.822547551,1.114870664,-0.457549976,6,0,0.003005442
PGC0002332,early,0.02045,2.74279,-3.163414843,0.949890112,2.561023355,0.15763692,2.851455761,0.948807295,0,0,0,-0.004335042,0.004281719,-0.005034378,0.003137307,6.946064955,-0.00468471,0.003709513,26.2475198,137.5454548,169.2810531,178.3383062,-374.9094313,-0.000116324,0.00175686,0,1,2.009241357,3.779397639,1.570524482,1.598731296,-3,0,0.005975533
PGC0002357,early,0.01419,2.65364,1.247169141,0.711823257,5.020248463,0.000105986,1.938798583,-0.086380063,0,0,0,0.000839852,-0.00051497,-0.000670444,0.001133738,3.601321611,8.47E-05,0.000309384,20.26848391,-387.0904625,125.8998001,-81.44740927,-32.83451675,-0.000725891,0.000381716,0,1,0.701936755,1.818865171,3.562740826,26.5828932,-3,0,0.000320769
PGC0002388,spiral,0.01473,2.25356,0.413046918,0.55819624,0.702601518,23.25506353,1.349379265,0.670864707,0,0,0,-0.000599847,-0.00072642,-0.000123714,0.000206197,5.232306932,-0.000361781,-0.000260111,36.21569099,-56.98311983,-7.796344792,-68.75623456,-150.1452611,-0.000696765,0.000223233,0,0,1.014451446,1.422946507,0.945960059,0.078996202,5,1,0.000445582
PGC0002440,spiral,0.01952,1.85472,2.167158303,2.800495485,0.858674376,15.77651262,1.269575298,-1.067071297,0,0,0,-0.002028491,2.36E-06,0.000450277,0.001423191,3.760230365,-0.000789107,0.000712773,30.19429694,-79.55838143,18.01291898,-81.76678936,232.376399,0.001178738,-0.00020302,0,0,1.308723524,2.339171086,1.279482909,-0.201153025,6,1,0.00106336
PGC0002501,early,0.05567,3.09761,-3.104822168,-0.585342316,1.159583807,9.296986824,1.348493022,0.986588072,0,0,0,7.68E-05,-7.74E-05,0.000239993,-0.000457381,0.977098199,0.000158394,-0.000267415,32.74561242,572.0751898,387.2183545,-103.7257147,107.1455362,0.000619028,-0.000250574,0,0,1.680296066,2.329171637,0.732151573,-1.265261527,-4,0,0.000310805
